TimeGenerated,OperationName,TargetResources,InitiatedBy,Result
2025-07-01 18:16:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 21:39:00,UpdateUser,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-02 00:51:00,DisableUser,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-01 18:11:00,DisableUser,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user13@contoso.com'}},Success
2025-07-02 05:52:00,UpdateUser,{'userPrincipalName': 'user15@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-01 11:30:00,UpdateUser,{'userPrincipalName': 'user12@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-01 08:21:00,UpdateUser,{'userPrincipalName': 'user8@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-02 07:28:00,DisableUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-01 13:48:00,UpdateUser,{'userPrincipalName': 'user14@contoso.com'},{'user': {'userPrincipalName': 'user8@contoso.com'}},Success
2025-07-02 02:20:00,UpdateUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 09:28:00,UpdateUser,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 10:33:00,ResetPassword,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 20:57:00,ResetPassword,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-02 03:54:00,ResetPassword,{'userPrincipalName': 'user6@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 18:53:00,UpdateUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-02 05:44:00,ResetPassword,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-02 02:00:00,UpdateUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-02 06:34:00,ResetPassword,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-02 00:28:00,UpdateUser,{'userPrincipalName': 'user9@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-01 18:06:00,DisableUser,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-02 03:03:00,UpdateUser,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-02 07:43:00,UpdateUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-01 10:03:00,UpdateUser,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-01 23:58:00,ResetPassword,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-01 11:34:00,ResetPassword,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-02 02:00:00,DisableUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user19@contoso.com'}},Success
2025-07-01 23:29:00,DisableUser,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 11:36:00,UpdateUser,{'userPrincipalName': 'user5@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-01 21:09:00,ResetPassword,{'userPrincipalName': 'user8@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 14:55:00,ResetPassword,{'userPrincipalName': 'user20@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-01 17:29:00,ResetPassword,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user3@contoso.com'}},Success
2025-07-02 03:42:00,DisableUser,{'userPrincipalName': 'user6@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 23:44:00,UpdateUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 08:33:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user8@contoso.com'}},Success
2025-07-01 08:58:00,ResetPassword,{'userPrincipalName': 'user6@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 20:00:00,ResetPassword,{'userPrincipalName': 'user17@contoso.com'},{'user': {'userPrincipalName': 'user15@contoso.com'}},Success
2025-07-01 10:52:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user18@contoso.com'}},Success
2025-07-01 13:08:00,ResetPassword,{'userPrincipalName': 'user14@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-02 01:20:00,ResetPassword,{'userPrincipalName': 'user17@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 17:18:00,ResetPassword,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user15@contoso.com'}},Success
2025-07-02 06:08:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-01 18:02:00,UpdateUser,{'userPrincipalName': 'user14@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-02 04:16:00,ResetPassword,{'userPrincipalName': 'user13@contoso.com'},{'user': {'userPrincipalName': 'user6@contoso.com'}},Success
2025-07-02 00:50:00,DisableUser,{'userPrincipalName': 'user17@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-02 07:15:00,UpdateUser,{'userPrincipalName': 'user14@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 11:47:00,UpdateUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user8@contoso.com'}},Success
2025-07-01 09:13:00,DisableUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-01 10:14:00,DisableUser,{'userPrincipalName': 'user9@contoso.com'},{'user': {'userPrincipalName': 'user8@contoso.com'}},Success
2025-07-01 15:43:00,DisableUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 21:24:00,UpdateUser,{'userPrincipalName': 'user13@contoso.com'},{'user': {'userPrincipalName': 'user13@contoso.com'}},Success
2025-07-02 00:54:00,UpdateUser,{'userPrincipalName': 'user8@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 19:51:00,DisableUser,{'userPrincipalName': 'user6@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-01 17:49:00,DisableUser,{'userPrincipalName': 'user10@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-01 14:19:00,DisableUser,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 18:25:00,DisableUser,{'userPrincipalName': 'user20@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-01 18:45:00,DisableUser,{'userPrincipalName': 'user8@contoso.com'},{'user': {'userPrincipalName': 'user6@contoso.com'}},Success
2025-07-01 14:23:00,ResetPassword,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user6@contoso.com'}},Success
2025-07-01 08:26:00,DisableUser,{'userPrincipalName': 'user15@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 19:24:00,UpdateUser,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 10:37:00,UpdateUser,{'userPrincipalName': 'user6@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 20:01:00,ResetPassword,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-02 00:40:00,UpdateUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
2025-07-01 09:32:00,UpdateUser,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 15:47:00,DisableUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 13:00:00,UpdateUser,{'userPrincipalName': 'user17@contoso.com'},{'user': {'userPrincipalName': 'user6@contoso.com'}},Success
2025-07-01 19:27:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-02 02:37:00,ResetPassword,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 20:26:00,ResetPassword,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 18:16:00,DisableUser,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-02 06:39:00,DisableUser,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-01 17:12:00,DisableUser,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 08:42:00,UpdateUser,{'userPrincipalName': 'user17@contoso.com'},{'user': {'userPrincipalName': 'sarah.johnson@contoso.com'}},Success
2025-07-02 06:30:00,UpdateUser,{'userPrincipalName': 'user14@contoso.com'},{'user': {'userPrincipalName': 'user8@contoso.com'}},Success
2025-07-01 09:03:00,UpdateUser,{'userPrincipalName': 'user12@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-01 20:16:00,UpdateUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 20:53:00,DisableUser,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-02 05:23:00,DisableUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-02 01:59:00,UpdateUser,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'user15@contoso.com'}},Success
2025-07-01 19:18:00,ResetPassword,{'userPrincipalName': 'user9@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 17:25:00,ResetPassword,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-02 03:46:00,DisableUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-01 12:11:00,ResetPassword,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-01 19:50:00,ResetPassword,{'userPrincipalName': 'user15@contoso.com'},{'user': {'userPrincipalName': 'user19@contoso.com'}},Success
2025-07-02 01:01:00,DisableUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
2025-07-02 07:14:00,UpdateUser,{'userPrincipalName': 'user5@contoso.com'},{'user': {'userPrincipalName': 'user15@contoso.com'}},Success
2025-07-02 05:17:00,DisableUser,{'userPrincipalName': 'user17@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-02 00:37:00,ResetPassword,{'userPrincipalName': 'user6@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 08:31:00,ResetPassword,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 17:39:00,DisableUser,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-02 00:40:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-01 20:01:00,DisableUser,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 16:34:00,UpdateUser,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-02 01:08:00,DisableUser,{'userPrincipalName': 'user12@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 10:56:00,DisableUser,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 14:42:00,ResetPassword,{'userPrincipalName': 'user9@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 17:55:00,UpdateUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user3@contoso.com'}},Success
2025-07-01 20:06:00,UpdateUser,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-01 22:25:00,ResetPassword,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user13@contoso.com'}},Success
2025-07-01 18:18:00,DisableUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-02 03:14:00,ResetPassword,{'userPrincipalName': 'user10@contoso.com'},{'user': {'userPrincipalName': 'user6@contoso.com'}},Success
2025-07-01 12:45:00,DisableUser,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user19@contoso.com'}},Success
2025-07-01 12:37:00,ResetPassword,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 18:16:00,ResetPassword,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-02 03:20:00,DisableUser,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 14:15:00,ResetPassword,{'userPrincipalName': 'user15@contoso.com'},{'user': {'userPrincipalName': 'user18@contoso.com'}},Success
2025-07-01 12:43:00,DisableUser,{'userPrincipalName': 'user14@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-02 01:11:00,DisableUser,{'userPrincipalName': 'user15@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-01 20:05:00,ResetPassword,{'userPrincipalName': 'user12@contoso.com'},{'user': {'userPrincipalName': 'user15@contoso.com'}},Success
2025-07-01 22:00:00,ResetPassword,{'userPrincipalName': 'user15@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 08:54:00,ResetPassword,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user18@contoso.com'}},Success
2025-07-02 04:59:00,ResetPassword,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-02 01:28:00,ResetPassword,{'userPrincipalName': 'user8@contoso.com'},{'user': {'userPrincipalName': 'user19@contoso.com'}},Success
2025-07-02 02:32:00,DisableUser,{'userPrincipalName': 'user5@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-01 21:24:00,UpdateUser,{'userPrincipalName': 'user10@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-01 23:47:00,DisableUser,{'userPrincipalName': 'user13@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
2025-07-01 10:53:00,UpdateUser,{'userPrincipalName': 'user15@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-01 11:39:00,ResetPassword,{'userPrincipalName': 'user9@contoso.com'},{'user': {'userPrincipalName': 'sarah.johnson@contoso.com'}},Success
2025-07-01 17:55:00,DisableUser,{'userPrincipalName': 'user20@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 10:04:00,UpdateUser,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-01 09:48:00,DisableUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-01 12:55:00,DisableUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-01 15:37:00,DisableUser,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 18:16:00,DisableUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-02 00:33:00,DisableUser,{'userPrincipalName': 'user10@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
2025-07-01 10:17:00,UpdateUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 12:07:00,DisableUser,{'userPrincipalName': 'user5@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-01 14:58:00,UpdateUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user8@contoso.com'}},Success
2025-07-02 01:15:00,ResetPassword,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
