TimeGenerated,OperationName,InitiatedBy,TargetProperties
2025-06-01T14:27:00,RemoveMemberFromRole,ethan.adams@contoso.com (66.249.64.1),"{""RoleName"": ""Security Administrator"", ""User"": ""patty.perez@contoso.com""}"
2025-06-01T14:27:00,RemoveMemberFromGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-788"", ""User"": ""rowan.young@contoso.com""}"
2025-06-01T14:32:00,RemoveMemberFromRole,noah.rhodes@contoso.com (78.137.97.10),"{""RoleName"": ""Global Administrator"", ""User"": ""noah.rhodes@contoso.com""}"
2025-06-01T14:46:00,AddMemberToGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-822"", ""User"": ""chris.harris@contoso.com""}"
2025-06-01T14:57:00,DeleteUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""reagan.day@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""bilbo.baggins@contoso.com""}"
2025-06-01T15:02:00,AddUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""kendall.edwards@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""ethan.adams@contoso.com""}"
2025-06-01T15:02:00,AddUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""parker.irving@contoso.com"", ""Department"": ""Legal"", ""CreatedBy"": ""gabrielle.davis@contoso.com""}"
2025-06-01T15:14:00,DeleteUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""zane.day@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""ethan.adams@contoso.com""}"
2025-06-01T15:35:00,UpdateUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""bailey.ellis@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-01T15:39:00,UpdateDevice,ethan.adams@contoso.com (66.249.64.1),"{""DeviceId"": ""device-9595"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T15:45:00,AddUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""avery.taylor@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-01T15:50:00,AddMemberToGroup,gabrielle.davis@contoso.com (66.249.64.1),"{""Group"": ""group-182"", ""User"": ""riley.evans@contoso.com""}"
2025-06-01T15:52:00,AddMemberToGroup,gabrielle.davis@contoso.com (66.249.64.1),"{""Group"": ""group-429"", ""User"": ""jordan.edwards@contoso.com""}"
2025-06-01T15:59:00,AddUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""sawyer.upton@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""ethan.adams@contoso.com""}"
2025-06-01T16:04:00,RemoveMemberFromGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-869"", ""User"": ""zane.jones@contoso.com""}"
2025-06-01T16:09:00,RemoveMemberFromGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-776"", ""User"": ""riley.upton@contoso.com""}"
2025-06-01T16:41:00,AddUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""kendall.doe@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-01T16:48:00,AddMemberToRole,noah.rhodes@contoso.com (78.137.97.10),"{""RoleName"": ""Global Administrator"", ""User"": ""noah.rhodes@contoso.com""}"
2025-06-01T16:48:00,UpdateDevice,noah.rhodes@contoso.com (78.137.97.10),"{""DeviceId"": ""device-9203"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T09:13:00,AddMemberToGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-847"", ""User"": ""sam.reed@contoso.com""}"
2025-06-02T09:22:00,AddMemberToGroup,noah.rhodes@contoso.com (78.137.97.10),"{""Group"": ""group-184"", ""User"": ""charlie.parker@contoso.com""}"
2025-06-02T09:47:00,RemoveMemberFromRole,ethan.adams@contoso.com (66.249.64.1),"{""RoleName"": ""User Administrator"", ""User"": ""patty.perez@contoso.com""}"
2025-06-02T09:49:00,AddMemberToGroup,noah.rhodes@contoso.com (78.137.97.10),"{""Group"": ""group-695"", ""User"": ""sloane.jones@contoso.com""}"
2025-06-02T09:53:00,UpdateUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""skyler.jones@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-02T10:15:00,UpdateDevice,ethan.adams@contoso.com (66.249.64.1),"{""DeviceId"": ""device-8182"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T10:33:00,RemoveMemberFromGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-949"", ""User"": ""devon.rivers@contoso.com""}"
2025-06-02T10:40:00,AddMemberToGroup,gabrielle.davis@contoso.com (66.249.64.1),"{""Group"": ""group-526"", ""User"": ""parker.stone@contoso.com""}"
2025-06-02T10:58:00,AddMemberToGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-582"", ""User"": ""finley.morgan@contoso.com""}"
2025-06-02T10:59:00,AddMemberToGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-157"", ""User"": ""finley.carter@contoso.com""}"
2025-06-02T11:04:00,AddUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""logan.stone@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""bilbo.baggins@contoso.com""}"
2025-06-02T11:14:00,AddUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""devon.doe@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-02T11:46:00,AddMemberToGroup,gabrielle.davis@contoso.com (66.249.64.1),"{""Group"": ""group-647"", ""User"": ""rowan.smith@contoso.com""}"
2025-06-02T11:47:00,RemoveMemberFromRole,bilbo.baggins@contoso.com (78.137.97.10),"{""RoleName"": ""User Administrator"", ""User"": ""ethan.adams@contoso.com""}"
2025-06-02T12:01:00,AddMemberToGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-875"", ""User"": ""hayden.lewis@contoso.com""}"
2025-06-02T12:01:00,AddMemberToRole,noah.rhodes@contoso.com (78.137.97.10),"{""RoleName"": ""User Administrator"", ""User"": ""bilbo.baggins@contoso.com""}"
2025-06-02T12:10:00,UpdateDevice,gabrielle.davis@contoso.com (66.249.64.1),"{""DeviceId"": ""device-9494"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T12:26:00,AddMemberToRole,gabrielle.davis@contoso.com (66.249.64.1),"{""RoleName"": ""User Administrator"", ""User"": ""bilbo.baggins@contoso.com""}"
2025-06-02T12:26:00,AddMemberToGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-515"", ""User"": ""hayden.nelson@contoso.com""}"
2025-06-02T12:29:00,RemoveMemberFromRole,noah.rhodes@contoso.com (78.137.97.10),"{""RoleName"": ""User Administrator"", ""User"": ""bilbo.baggins@contoso.com""}"
2025-06-02T13:02:00,AddUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""lane.knight@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-02T13:07:00,AddMemberToRole,patty.perez@contoso.com (66.249.64.1),"{""RoleName"": ""Security Administrator"", ""User"": ""ethan.adams@contoso.com""}"
2025-06-02T13:08:00,AddMemberToGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-930"", ""User"": ""finley.french@contoso.com""}"
2025-06-02T13:15:00,RemoveMemberFromRole,gabrielle.davis@contoso.com (66.249.64.1),"{""RoleName"": ""User Administrator"", ""User"": ""bilbo.baggins@contoso.com""}"
2025-06-02T13:24:00,UpdateDevice,gabrielle.davis@contoso.com (66.249.64.1),"{""DeviceId"": ""device-5041"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T13:32:00,AddUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""finley.wright@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""patty.perez@contoso.com""}"
2025-06-02T13:36:00,AddUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""spencer.owens@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""gabrielle.davis@contoso.com""}"
2025-06-02T13:43:00,UpdateUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""charlie.quincy@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-02T13:43:00,UpdateUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""pat.edwards@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-02T13:48:00,AddMemberToRole,bilbo.baggins@contoso.com (78.137.97.10),"{""RoleName"": ""User Administrator"", ""User"": ""ethan.adams@contoso.com""}"
2025-06-02T13:50:00,AddUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""pat.zimmer@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""ethan.adams@contoso.com""}"
2025-06-02T13:51:00,AddUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""charlie.sanders@contoso.com"", ""Department"": ""Legal"", ""CreatedBy"": ""gabrielle.davis@contoso.com""}"
2025-06-02T13:52:00,AddMemberToRole,ethan.adams@contoso.com (66.249.64.1),"{""RoleName"": ""User Administrator"", ""User"": ""patty.perez@contoso.com""}"
2025-06-02T14:11:00,UpdateDevice,patty.perez@contoso.com (66.249.64.1),"{""DeviceId"": ""device-3220"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T14:13:00,UpdateDevice,patty.perez@contoso.com (66.249.64.1),"{""DeviceId"": ""device-9548"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T14:16:00,UpdateUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""logan.graham@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-02T14:20:00,UpdateUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""kai.rivers@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-02T14:21:00,UpdateUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""bailey.irving@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-02T15:08:00,AddMemberToGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-411"", ""User"": ""lane.walsh@contoso.com""}"
2025-06-02T15:10:00,UpdateDevice,noah.rhodes@contoso.com (78.137.97.10),"{""DeviceId"": ""device-2831"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T15:13:00,AddMemberToGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-682"", ""User"": ""kendall.upton@contoso.com""}"
2025-06-02T15:47:00,RemoveMemberFromRole,patty.perez@contoso.com (66.249.64.1),"{""RoleName"": ""Security Administrator"", ""User"": ""ethan.adams@contoso.com""}"
2025-06-02T16:09:00,RemoveMemberFromGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-988"", ""User"": ""val.doe@contoso.com""}"
2025-06-02T16:16:00,RemoveMemberFromGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-338"", ""User"": ""cameron.murray@contoso.com""}"
2025-06-02T16:17:00,UpdateDevice,patty.perez@contoso.com (66.249.64.1),"{""DeviceId"": ""device-4562"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T16:34:00,UpdateUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""logan.morgan@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-02T16:44:00,UpdateDevice,gabrielle.davis@contoso.com (66.249.64.1),"{""DeviceId"": ""device-7029"", ""ComplianceStatus"": ""Updated""}"
2025-06-02T16:47:00,UpdateUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""parker.pratt@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T09:04:00,AddUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""sam.edwards@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-03T09:06:00,AddMemberToGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-652"", ""User"": ""charlie.anderson@contoso.com""}"
2025-06-03T09:07:00,AddMemberToRole,ethan.adams@contoso.com (66.249.64.1),"{""RoleName"": ""Global Administrator"", ""User"": ""gabrielle.davis@contoso.com""}"
2025-06-03T09:08:00,DeleteUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""sloane.xavier@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-03T09:17:00,RemoveMemberFromGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-437"", ""User"": ""drew.foster@contoso.com""}"
2025-06-03T09:18:00,AddMemberToRole,gabrielle.davis@contoso.com (66.249.64.1),"{""RoleName"": ""Exchange Administrator"", ""User"": ""bilbo.baggins@contoso.com""}"
2025-06-03T09:19:00,UpdateUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""drew.johnson@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T09:25:00,UpdateUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""morgan.jones@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T09:30:00,RemoveMemberFromGroup,gabrielle.davis@contoso.com (66.249.64.1),"{""Group"": ""group-311"", ""User"": ""reagan.johnson@contoso.com""}"
2025-06-03T09:45:00,DeleteUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""finley.wright@contoso.com"", ""Department"": ""Legal"", ""CreatedBy"": ""patty.perez@contoso.com""}"
2025-06-03T09:45:00,AddMemberToGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-770"", ""User"": ""riley.anderson@contoso.com""}"
2025-06-03T09:49:00,AddMemberToGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-818"", ""User"": ""sawyer.parker@contoso.com""}"
2025-06-03T10:02:00,UpdateDevice,patty.perez@contoso.com (66.249.64.1),"{""DeviceId"": ""device-9525"", ""ComplianceStatus"": ""Updated""}"
2025-06-03T10:06:00,UpdateUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""finley.reed@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T10:18:00,UpdateUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""jamie.johnson@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T10:34:00,RemoveMemberFromGroup,noah.rhodes@contoso.com (78.137.97.10),"{""Group"": ""group-871"", ""User"": ""marley.edwards@contoso.com""}"
2025-06-03T10:43:00,AddUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""taylor.clarke@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""bilbo.baggins@contoso.com""}"
2025-06-03T10:50:00,AddMemberToGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-888"", ""User"": ""jamie.foster@contoso.com""}"
2025-06-03T11:04:00,RemoveMemberFromRole,ethan.adams@contoso.com (66.249.64.1),"{""RoleName"": ""Global Administrator"", ""User"": ""gabrielle.davis@contoso.com""}"
2025-06-03T11:14:00,AddUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""sam.irving@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""gabrielle.davis@contoso.com""}"
2025-06-03T11:19:00,AddUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""wren.knight@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-03T11:31:00,UpdateUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""avery.parker@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T11:56:00,RemoveMemberFromGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-320"", ""User"": ""alex.young@contoso.com""}"
2025-06-03T11:58:00,RemoveMemberFromRole,patty.perez@contoso.com (66.249.64.1),"{""RoleName"": ""User Administrator"", ""User"": ""ethan.adams@contoso.com""}"
2025-06-03T12:22:00,RemoveMemberFromGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-492"", ""User"": ""wren.irving@contoso.com""}"
2025-06-03T12:37:00,RemoveMemberFromGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-220"", ""User"": ""reagan.knight@contoso.com""}"
2025-06-03T12:37:00,UpdateUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""lane.lewis@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T12:40:00,UpdateUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""emerson.clarke@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T12:44:00,AddMemberToRole,bilbo.baggins@contoso.com (78.137.97.10),"{""RoleName"": ""Global Administrator"", ""User"": ""patty.perez@contoso.com""}"
2025-06-03T12:47:00,UpdateUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""riley.holland@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T12:50:00,RemoveMemberFromGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-924"", ""User"": ""marley.taylor@contoso.com""}"
2025-06-03T13:02:00,AddMemberToRole,patty.perez@contoso.com (66.249.64.1),"{""RoleName"": ""User Administrator"", ""User"": ""ethan.adams@contoso.com""}"
2025-06-03T13:15:00,RemoveMemberFromRole,noah.rhodes@contoso.com (78.137.97.10),"{""RoleName"": ""Security Administrator"", ""User"": ""bilbo.baggins@contoso.com""}"
2025-06-03T13:25:00,AddUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""sloane.xavier@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-03T13:31:00,UpdateUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""jordan.bennett@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T13:47:00,AddMemberToGroup,patty.perez@contoso.com (66.249.64.1),"{""Group"": ""group-551"", ""User"": ""zephyr.quincy@contoso.com""}"
2025-06-03T13:58:00,DeleteUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""wren.knight@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-03T14:01:00,UpdateUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""skyler.walsh@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-03T14:06:00,AddMemberToGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-173"", ""User"": ""avery.murray@contoso.com""}"
2025-06-03T14:19:00,DeleteUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""parker.irving@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""gabrielle.davis@contoso.com""}"
2025-06-03T14:21:00,UpdateDevice,gabrielle.davis@contoso.com (66.249.64.1),"{""DeviceId"": ""device-2891"", ""ComplianceStatus"": ""Updated""}"
2025-06-03T14:24:00,RemoveMemberFromRole,bilbo.baggins@contoso.com (78.137.97.10),"{""RoleName"": ""Global Administrator"", ""User"": ""patty.perez@contoso.com""}"
2025-06-03T14:33:00,DeleteUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""lane.knight@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-03T14:34:00,AddUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""reese.ellis@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""ethan.adams@contoso.com""}"
