TimeGenerated,UserPrincipalName,AppDisplayName,ResultType,ResultDescription,IPAddress,Location,DeviceDetail
2025-06-01T09:42:00,taylor.swift@contoso.com,SharePoint Online,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-37"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-01T09:43:00,patty.perez@contoso.com,Office 365 Exchange Online,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-13"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T09:46:00,dylan.miller@contoso.com,Outlook Mobile,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-21"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-01T09:47:00,roger.federer@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-9"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T09:48:00,noah.rhodes@contoso.com,OneDrive,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-33"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T09:49:00,abigail.shaffer@contoso.com,Microsoft Teams,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-50"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T09:52:00,jason.bourne@contoso.com,SharePoint Online,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-42"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-01T09:55:00,monica.herrera@contoso.com,Microsoft Teams,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-8"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T09:57:00,dylan.miller@contoso.com,Microsoft Teams,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-23"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-01T10:01:00,brian.ramirez@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-19"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-01T10:03:00,zendaya.coleman@contoso.com,OneDrive,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-34"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T10:04:00,allison.hill@contoso.com,Office 365 Exchange Online,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-29"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-01T10:05:00,roger.federer@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-38"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-01T10:06:00,angie.henderson@contoso.com,Microsoft Teams,50074,Strong Authentication is required.,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-48"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Unknown""}"
2025-06-01T10:06:00,jamie.arnold@contoso.com,Microsoft Teams,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-49"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-01T10:07:00,tommy.walter@contoso.com,Microsoft Teams,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-42"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T10:08:00,ethan.adams@contoso.com,Office 365 Exchange Online,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-26"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-01T10:14:00,zendaya.coleman@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-27"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-01T10:17:00,ethan.adams@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-37"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-01T10:24:00,gina.moore@contoso.com,Azure Portal,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-27"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T10:27:00,abigail.shaffer@contoso.com,Outlook Mobile,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-47"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T10:31:00,bilbo.baggins@contoso.com,Outlook Mobile,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-32"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T10:32:00,taylor.swift@contoso.com,Power BI,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-37"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T10:33:00,lisa.jackson@contoso.com,OneDrive,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-24"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-01T10:34:00,connie.lawrence@contoso.com,SharePoint Online,500121,Authentication failed during strong authentication request.,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-25"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-01T10:42:00,patty.perez@contoso.com,SharePoint Online,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-20"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T10:42:00,bilbo.baggins@contoso.com,Office 365 Exchange Online,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-10"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-01T10:45:00,daniel.wagner@contoso.com,Power BI,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-33"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-01T10:47:00,beyonce.knowles@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-17"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T10:50:00,ethan.adams@contoso.com,Office 365 Exchange Online,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-10"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-01T10:54:00,taylor.swift@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-2"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-01T11:01:00,michele.williams@contoso.com,SharePoint Online,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-36"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-01T11:01:00,holly.wood@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-6"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T11:02:00,angie.henderson@contoso.com,SharePoint Online,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-44"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-01T11:11:00,holly.wood@contoso.com,Outlook Mobile,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-29"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-01T11:12:00,beyonce.knowles@contoso.com,OneDrive,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-37"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-01T11:13:00,allison.hill@contoso.com,Outlook Mobile,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-35"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T11:13:00,patty.perez@contoso.com,Outlook Mobile,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-20"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T11:20:00,beyonce.knowles@contoso.com,Power BI,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-10"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-01T11:25:00,angie.henderson@contoso.com,Office 365 Exchange Online,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-44"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T11:30:00,abigail.shaffer@contoso.com,Microsoft Teams,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-1"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T11:31:00,gina.moore@contoso.com,Outlook Mobile,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-22"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-01T11:33:00,noah.rhodes@contoso.com,OneDrive,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-42"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-01T11:41:00,carla.gray@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-13"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-01T11:42:00,jason.bourne@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-19"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-01T11:42:00,allison.hill@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-4"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T11:45:00,margaret.dds@contoso.com,SharePoint Online,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-50"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-01T11:46:00,daniel.wagner@contoso.com,Microsoft Teams,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-25"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-01T11:47:00,monica.herrera@contoso.com,Power BI,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-44"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T11:54:00,michele.williams@contoso.com,Microsoft Teams,53003,Access has been blocked due to conditional access policies.,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-23"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Chrome""}"
2025-06-01T11:54:00,lisa.jackson@contoso.com,Outlook Mobile,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-23"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T11:56:00,noah.rhodes@contoso.com,Azure Portal,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-3"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T12:03:00,margaret.dds@contoso.com,Outlook Mobile,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-32"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T12:05:00,monica.herrera@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-34"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-01T12:07:00,ryan.munoz@contoso.com,Power BI,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-8"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T12:08:00,connie.lawrence@contoso.com,Outlook Mobile,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-2"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T12:08:00,lisa.jackson@contoso.com,Azure Portal,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-43"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Firefox""}"
2025-06-01T12:10:00,brian.ramirez@contoso.com,Office 365 Exchange Online,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-27"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T12:10:00,daniel.wagner@contoso.com,Azure Portal,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-34"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T12:13:00,roger.federer@contoso.com,Azure Portal,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-47"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-01T12:14:00,brian.ramirez@contoso.com,Azure Portal,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-50"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T12:17:00,dylan.miller@contoso.com,Microsoft Teams,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-1"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T12:18:00,margaret.dds@contoso.com,OneDrive,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-36"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-01T12:19:00,abigail.shaffer@contoso.com,SharePoint Online,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-11"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-01T12:19:00,holly.wood@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-22"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T12:21:00,connie.lawrence@contoso.com,Power BI,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-22"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T12:21:00,gabrielle.davis@contoso.com,Power BI,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-21"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Firefox""}"
2025-06-01T12:25:00,jason.bourne@contoso.com,OneDrive,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-36"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-01T12:27:00,noah.rhodes@contoso.com,Azure Portal,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-9"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-01T12:31:00,noah.rhodes@contoso.com,Power BI,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-11"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-01T12:34:00,lisa.hensley@contoso.com,Office 365 Exchange Online,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-50"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-01T12:38:00,noah.rhodes@contoso.com,Outlook Mobile,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-41"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-01T12:42:00,bilbo.baggins@contoso.com,Power BI,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-4"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-01T12:44:00,lisa.jackson@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-35"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Chrome""}"
2025-06-01T12:50:00,monica.herrera@contoso.com,OneDrive,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-30"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T12:50:00,lisa.hensley@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-45"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T12:58:00,zendaya.coleman@contoso.com,OneDrive,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-37"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Chrome""}"
2025-06-01T12:59:00,daniel.wagner@contoso.com,Office 365 Exchange Online,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-36"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T13:07:00,michele.williams@contoso.com,SharePoint Online,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-16"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Edge""}"
2025-06-01T13:07:00,dylan.miller@contoso.com,Azure Portal,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-24"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-01T13:11:00,holly.wood@contoso.com,OneDrive,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-1"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T13:12:00,gabrielle.davis@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-6"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
